Número de Tweet,Usuario,Texto,Creado en,Retweets,Likes
55,elonmusk,@VivekGRamaswamy “Alleged” 🤣🤣,2024-11-21 13:42:35+00:00,229,3624
56,elonmusk,@thatsKAIZEN Yeah,2024-11-21 07:08:38+00:00,57,724
57,elonmusk,@BasedMikeLee Terrible,2024-11-21 07:06:27+00:00,88,1348
58,elonmusk,"California, the Golden State, is eating its Golden Geese https://t.co/qml5EzqrYV",2024-11-21 06:58:29+00:00,6072,36871
59,elonmusk,@ZachWarunek Yeah,2024-11-21 06:53:00+00:00,34,700
60,elonmusk,@pmarca True,2024-11-21 06:52:05+00:00,25,614
61,elonmusk,True https://t.co/MUq7JnUxTC,2024-11-21 06:51:42+00:00,9260,39162
62,elonmusk,True https://t.co/Wa32lZsStT,2024-11-21 06:49:51+00:00,12158,58727
63,elonmusk,@512x512 Great,2024-11-21 06:48:04+00:00,29,500
64,elonmusk,@aussie_hanz @512x512 @TheGregYang @kinespheric @phroo Good idea,2024-11-21 06:43:40+00:00,42,557
65,elonmusk,Coming soon to iPhone &amp; Android https://t.co/uhsPrfXHMX,2024-11-21 06:43:26+00:00,2397,19942
66,elonmusk,Now more closely reflects America https://t.co/PokCjGjhy8,2024-11-21 06:42:10+00:00,5669,57305
67,elonmusk,"Thank you, Senator Lee! https://t.co/F52k3FFqCg",2024-11-21 06:38:17+00:00,10969,71262
68,elonmusk,@BehizyTweets We will have guests too,2024-11-21 06:31:13+00:00,196,3005
69,elonmusk,"Just learned tonight at Mar-a-Lago that Jeff Bezos was telling everyone that @realDonaldTrump would lose for sure, so they should sell all their Tesla and SpaceX stock 🤭",2024-11-21 06:26:39+00:00,25309,231895
70,elonmusk,@DimaZeniuk And it will get longer,2024-11-21 06:22:24+00:00,46,749
71,elonmusk,@Rothmus Yeah,2024-11-21 06:20:36+00:00,38,785
72,elonmusk,"If the extreme violation of shareholder rights by the activist posing as a judge in Delaware is allowed to stand, Delaware’s entire economy will be destroyed https://t.co/4kPNFTktkB",2024-11-21 06:19:57+00:00,9609,38048
73,elonmusk,Are we a country that believes in innocent until proven guilty or are we not? https://t.co/HVRawXoLyw,2024-11-21 06:17:05+00:00,39202,170473
74,elonmusk,Seems like a backdoor way to control access to the Internet by all Australians https://t.co/694yCzWOaB,2024-11-21 06:11:45+00:00,11184,77746
75,elonmusk,Improvements to Grok https://t.co/TeEHrIUfHI,2024-11-21 06:10:33+00:00,2220,18197
76,elonmusk,America is New Rome https://t.co/Sa6X2Fr8dy,2024-11-21 06:05:40+00:00,10469,86430
77,elonmusk,"@DefiyantlyFree But first delete as many as possible. 

We should not try to optimize something that shouldn’t exist.",2024-11-21 06:04:27+00:00,210,2119
78,elonmusk,@thejefflutz He’s gone mad,2024-11-21 06:02:58+00:00,57,1519
79,elonmusk,"Wow, Germany carries a lot of the cost of the EU! https://t.co/DPHUz2nWX0",2024-11-21 06:01:38+00:00,23593,181934
80,elonmusk,"Yeah, a significant part of the reason drugs cost more in the USA than other countries is that Americans shoulder most of the R&amp;D costs https://t.co/kpbCWF1e9c",2024-11-21 05:59:36+00:00,8593,58802
81,elonmusk,@EndWokeness Now MSNBC is going down,2024-11-21 05:56:43+00:00,771,12981
82,elonmusk,@RationalEtienne Most of the government is not needed,2024-11-21 05:53:58+00:00,196,1847
83,elonmusk,All establishment parties in the UK will get crushed in the next election https://t.co/8RuFR8yerL,2024-11-21 05:49:11+00:00,17578,128980
84,elonmusk,@cb_doge Yeah,2024-11-21 05:48:07+00:00,54,832
85,elonmusk,Quite a big difference https://t.co/obuFKg09Y7,2024-11-21 05:46:14+00:00,6571,96974
86,elonmusk,Community Notes goes hard 😂 https://t.co/wHb0wVjp4X,2024-11-21 05:44:06+00:00,12332,224746
87,elonmusk,"@Rothmus Some Federal departments have 6% occupancy. 

Closer to 1% if “occupancy” is defined as clocked in for &gt;8 hours. It’s insane.",2024-11-21 05:40:24+00:00,137,1240
88,elonmusk,@Nate_Esparza @alx Fair point,2024-11-21 05:37:29+00:00,20,472
89,elonmusk,Your tax dollars [not] at work https://t.co/yggTAzH26q,2024-11-21 05:29:25+00:00,15457,55982
90,elonmusk,"@LawSelfDefense @FischerKing64 Yeah, terrible",2024-11-21 03:44:09+00:00,38,830
91,elonmusk,@ChefGruel Really?,2024-11-21 03:35:02+00:00,391,9203
92,elonmusk,@MarioNawfal I think Blizzard should give me a salesperson of the month award,2024-11-21 03:28:03+00:00,315,7511
93,elonmusk,He was a genius https://t.co/DOYzzACUeu,2024-11-21 03:25:22+00:00,31720,198038
94,elonmusk,"@GregWAutry @peterrhague Actually, I have often exceeded stated goals, but the legacy media never writes an article when that happens",2024-11-21 03:15:13+00:00,80,1162
95,elonmusk,Low bar tbh https://t.co/ZnBcavvxQw,2024-11-21 03:06:04+00:00,20031,239338
96,elonmusk,@alx Bigtime (phew),2024-11-21 03:05:18+00:00,138,2194
97,elonmusk,@Rothmus Took me a second before I realized that the guy meant the list as a bad thing 😂,2024-11-21 03:04:25+00:00,140,2276
98,elonmusk,The establishment political parties are going to get utterly crushed in the next UK election https://t.co/Vt2OAFmXwK,2024-11-21 03:03:10+00:00,17107,95070
99,elonmusk,@farzyness Yeah,2024-11-21 03:01:44+00:00,54,1027
100,elonmusk,Just replace “democracy” with “bureaucracy” and it makes total sense 😂 https://t.co/eFfzd9aoQS,2024-11-21 02:48:52+00:00,33345,245399
